sample,time_s,rpm,crank_phase_deg,cylinder,bank
19569,0.443741497,5115.460,216.532394,6,B
19672,0.446077098,5116.652,288.226868,2,A
19776,0.448435374,5117.861,360.634369,7,B
19879,0.450770975,5119.064,432.362549,3,A
19982,0.453106576,5120.273,504.107635,8,B
20086,0.455464853,5121.500,576.566528,4,A
20189,0.457800454,5122.721,648.345825,9,B
20292,0.460136054,5123.947,0.142283,0,A
20396,0.462494331,5125.191,72.653275,5,B
20499,0.464829932,5126.430,144.484436,1,A
20602,0.467165533,5127.674,216.332993,6,B
20705,0.469501134,5128.923,288.199036,2,A
20808,0.471836735,5130.179,360.082611,7,B
20912,0.474195011,5131.453,432.681976,3,A
21015,0.476530612,5132.720,504.601105,8,B
21118,0.478866213,5133.993,576.538025,4,A
21221,0.481201814,5135.271,648.492798,9,B
21324,0.483537415,5136.556,0.465538,0,A
21427,0.485873016,5137.846,72.456329,5,B
21530,0.488208617,5139.142,144.465240,1,A
21633,0.490544218,5140.444,216.492355,6,B
21736,0.492879819,5141.751,288.537750,2,A
21839,0.495215420,5143.064,360.601501,7,B
21942,0.497551020,5144.383,432.683716,3,A
22044,0.499863946,5145.695,504.084320,8,B
22147,0.502199546,5147.025,576.203491,4,A
22250,0.504535147,5148.362,648.341309,9,B
22353,0.506870748,5149.704,0.497909,0,A
22456,0.509206349,5151.051,72.673347,5,B
22558,0.511519274,5152.391,144.166702,1,A
22661,0.513854875,5153.750,216.379883,6,B
22764,0.516190476,5155.114,288.612152,2,A
22866,0.518503401,5156.471,360.162018,7,B
22969,0.520839002,5157.847,432.432495,3,A
23071,0.523151927,5159.215,504.020355,8,B
23174,0.525487528,5160.603,576.329407,4,A
23277,0.527823129,5161.996,648.657898,9,B
23379,0.530136054,5163.380,0.303426,0,A
23482,0.532471655,5164.785,72.670929,5,B
23584,0.534784580,5166.181,144.355270,1,A
23686,0.537097506,5167.582,216.059021,6,B
23789,0.539433107,5169.003,288.485535,2,A
23891,0.541746032,5170.416,360.228516,7,B
23994,0.544081633,5171.848,432.694824,3,A
24096,0.546394558,5173.272,504.477386,8,B
24198,0.548707483,5174.702,576.279724,4,A
